ID,UPA,EventDate,Employer,Address1,Address2,city,state,Zip,Latitude,Longitude,Primary_NAICS,Hospitalized,Amputation,Loss_Of_Eye,Inspection,FinalNarrative,Nature,NatureTitle,Part_of_Body,Part_of_Body_Title,Event,EventTitle,Source,sourceTitle,Secondary_Source,Secondary_Source_Title
"2025099120","2348352","2025-09-12","Norton Energy Drilling, L.L.C","32.11060  N, 101.01784  W","23 miles south of Colorado City Texas","STERLING CITY","TEXAS","76951","31.88","-101.03","213111","1","0","0","","An employee was working on a drilling rig, tripping in a stand of drill pipe. While the final stand was being set into the elevators, the pipe made contact with the latch mechanism rather than entering the elevator opening. This misalignment caused the stand to rebound toward the employee. The employee was stabilizing the pipe when it ricocheted back toward the elevators. The employee s left ring finger was caught and broken between the drill pipe and the elevator assembly.","124"," Fractures   ","4429"," Other finger(s)  n.e.c.","6449"," Struck by suspended or swinging objects  n.e.c.","4649"," Machine and tool parts, accessories  n.e.c.","3250"," Drilling and extraction machinery  unspecified"
"2025099684","2354652","2025-09-27","ROBINSON DRILLING OF TEXAS, LTD","31 35'39.4"N 103 18'45.4"W","","PECOS","TEXAS","79772","31.4","-103.51","213111","1","1","0","","An employee was rigging up a location. He was using an Allen wrench to free up rotation and start the drawworks engine manually. The engine rotated and his left little finger became caught between the Allen wrench and the engine. The employee sustained an amputation to his little finger and fractures to his wrist.","1220"," Amputations, avulsions, enucleations  unspecified","4429"," Other finger(s)  n.e.c.","652"," Struck by running powered equipment  during maintenance, cleaning, testing","3250"," Drilling and extraction machinery  unspecified","7144"," Wrenches, ratchets"
"2025099762","2351164","2025-09-18","ZJ Falcon LP dba Falcon Energy Services","Colt 34-103 1H","","ODESSA","TEXAS","79760","31.86","-102.4","213111","0","1","0","","An employee's glove was caught in a rotating rod, breaking and degloving their right ring finger. During treatment, a small amount of bone was removed from the finger.","1221"," Amputations involving bone loss","4429"," Other finger(s)  n.e.c.","653"," Caught, entangled in running powered equipment  normal operation","3251"," Drilling machines, drill apparatus","9217"," Gloves, handguards  except disposable, electric insulating"
"20251010281","2371628","2025-10-14","Amercian Well Service Llp","Near 119th Avenue NW","Garmann 19-18f #8tfh Well Pad","WATFORD CITY","NORTH DAKOTA","58854","47.66","-102.83","213111","0","1","0","","An employee was working to remove a stuck fish tool from a drill shoe. Their thumb was struck by a hammer, resulting in amputation.","1221"," Amputations involving bone loss","4422"," Thumb(s)","6611"," Injured by object held or wielded by person","7157"," Other hammers, mallets","990"," Source, secondary source  unspecified"
"20251010471","2372274","2025-10-21","C. Miller Drilling Inc","Well Drilling Site in Pilot Point","","PILOT POINT","TEXAS","76258","33.39","-96.96","213111","1","0","0","","A service crew was pulling a pump and motor from a well. After breaking a joint of pipe loose from another joint, an employee grabbed the chain tongs to prevent the pipe from spinning in the well, so the crew could continue taking it apart. The bolt that attaches the chain to the handle of the chain tongs broke, causing the chain to swing around and strike the employee's lower right leg. The chain severely punctured his leg and fractured his tibia.","1823"," Fractures and surface, flesh wounds ","523"," Lower leg(s)","6422"," Struck by dislodged or detached object(s)","4422"," Chains","3250"," Drilling and extraction machinery  unspecified"
"20251010530","2371997","2025-10-22","Hall Drilling, LLC","Oil and Gas Well Pad","","HANNIBAL","OHIO","43931","39.66","-80.87","213111","1","0","0","","An employee was stepping down off a 6-inch containment platform to finish loading his truck, when his right ankle rolled. The employee sustained a fractured tibia and fibula at the right ankle and required surgery.","124"," Fractures   ","53"," Ankle(s)","731"," Climbing or stepping  up or down","562"," Bodily motion or position of injured, ill worker","2119"," Nonpressurized containers  n.e.c."
"2025109905","2364467","2025-10-02","Axis Energy Services","Interstate I20","","WICKETT","TEXAS","79788","31.56","-102.99","213111","1","0","0","","An employee arrived on location and loaded a blow-out-preventer (BOP) on a 1-ton flatbed truck. While standing on the flatbed securing the the BOP, the employee stepped into a void/hole on the flatbed surface. This caused him to lose balance and fall off the truck bed with his leg still caught in the hole. As a result, he sustained fractures to his left leg.","124"," Fractures   ","520"," Leg(s)  unspecified","4141"," Other fall to lower level  less than 6 feet","8434"," Other semi, tractor-trailer","6622"," Existing opening, hole in constructed surface"
"20251110892","2365514","2025-11-02","Helmerich & Payne","H&P rig 628","","RANKIN","TEXAS","79778","","","213111","1","1","0","","An employee was operating a hydraulic winch and manipulating the hoist cable when his finger became caught in the line and was pulled into the hoist. The employee was hospitalized with the partial amputation of their right middle finger.","1220"," Amputations, avulsions, enucleations  unspecified","4429"," Other finger(s)  n.e.c.","653"," Caught, entangled in running powered equipment  normal operation","3250"," Drilling and extraction machinery  unspecified","454"," Drums, pulleys, sheaves"
"20251110966","2368285","2025-11-04","WDI Drilling Equipment Services, LLC 11633","11633 Spring, TX","","TOMBALL","TEXAS","77377","30.01","-95.6","213111","1","0","0","","An employee had been dislodging trash that got stuck in a dumpster. The employee jumped from the dumpster to the ground and sustained fractures to their leg and heel, requiring hospitalization.","124"," Fractures   ","5820"," Foot(feet) and leg(s)  unspecified","4140"," Other fall to lower level  unspecified","2115"," Tanks, bins, vats  except confined space","660"," Ground, travel, and support surfaces  unspecified"
"20251111000","2365542","2025-11-05","ZJ Falcon LP dba Falcon Energy Services","Diamondback Cole Ranch 41-4","","MIDLAND","TEXAS","79701","31.99","-102.08","213111","1","0","0","","An employee was rescuing a contractor in a fire when a hot oiler truck caught fire and exploded. The employee sustained burns to their hand, arm, and back.","1520"," Thermal burns  degree unspecified","833"," Trunk and other upper extremities","310"," Explosion  unspecified","8429"," Trucks with other mounted machinery, equipment  n.e.c.","9552"," Fire, flame"
